,index,bio,n_budget,language
138,Стохастическое моделирование в экономике и финансах,"(ранее — программа «Статистическое моделирование и актуарные расчеты»)Программа предназначена для выпускников экономического, математического и технического бакалавриата и специалитета, которые настроены на работу в банках, страховых компаниях и финансовых организациях в области прикладной математики.Программа рассчитана на освоение современных вероятностно-статистических методов моделирования экономических процессов и на общее изучение математических основ теории страхования.",20,RUS+ENG
139,Стратегический менеджмент: инвестиции и консалтинг,"(Ранее — программа «Стратегический менеджмент и консалтинг»)Магистерская программа нового поколения направлена на подготовку к успешной карьере в ведущих компаниях из сферы управленческого консалтинга, стратегических департаментах и подразделениях бизнес-развития в крупнейших компаниях России и мира финансового, телекоммуникационного, технологического и промышленного секторов, инвестиционных банках и холдингах.",30,RUS+ENG
140,Стратегическое управление логистикой и цепями поставок,"Программа готовит управленцев высшей квалификации, которые смогут стратегически выстраивать бизнесс-процессы компаний, опираясь на результаты научных исследований в области логистики и управления цепями поставок. Выпускники программы смогут успешно решать задачи интеграции материального, финансового, сервисного и информационного потоков для снижения затрат, уменьшения издержек, связанных с дефицитом и повышения надежности цепей поставок с учетом лучших мировых практик.(ранее — программа  «Стратегическое управление логистикой»)",25,RUS+ENG
141,Стратегическое управление финансами фирмы,"Магистерская программа “Стратегическое управление финансами фирмы” предназначена для тех, кто хочет получить углубленные знания в области финансов и одновременно – широкий профессиональный кругозор. Ключевой фокус СУФФ – корпоративные финансы. В то же время она позволяет получить студентам широкий спектр знаний и в других областях экономики и финансов.Помимо корпоративных финансов наши студенты изучают макроэкономику и эконометрику, микроэкономику и поведенческие финансы, учатся программировать и работать с аналитическими базами данных.",40,ENG
142,Теория языка и полевая лингвистика,"Программа поддерживается Школой лингвистики Факультета гуманитарных наук в московском кампусе НИУ ВШЭ. Наша программа – единственная из магистерских программ по теоретической лингвистике, которая делает акцент на междисциплинарных аспектах в исследовании и описании языкового разнообразия – акустической фонетике, социолингвистике, лингвистической антропологии, но также и классических лингвистических дисциплин – таких как типология – и количественных методах анализа языковых данных.Обучение проводится на английском языке. Подробнее с нашими курсами можно познакомиться на этой странице.",16,ENG
143,Технологии искусственного интеллекта в телекоммуникациях,"Студенты магистерской программы «Технологии искусственного интеллекта в телекоммуникациях» получат знания по широкому кругу вопросов аппаратного и программного обеспечения современных телекоммуникационных систем. Они научатся проектировать, разрабатывать и обслуживать современные системы связи с использованием решений на основе ИИ — от постановки проблемы и поиска идеи до разработки и понимания высокотехнологичных продуктов и бизнесов в сфере телекоммуникаций.",20,RUS
144,Умные устройства: аппаратная разработка,"Новая программа. Первый набор в 2026 годуПрограмма «Умные устройства: аппаратная разработка» реализуется совместно ФКН ВШЭ и Яндексом. Она ориентирована на подготовку инженеров-разработчиков современных умных устройств и рассчитана на студентов с различным инженерным и техническим бэкграундом. Слушатели программы получают знания в области физики, машинного обучения, искусственного интеллекта, системного программирования, электронного и механического инжиниринга, а также практические навыки, востребованные в индустрии разработки электроники.",15,RUS
145,Управление в высшем образовании,"Программа для сотрудников вузов, нацеленных на управленческую карьеру или развитие собственных проектов в образовании. Студенты разрабатывают модели и стратегии управления, изучают тренды высшего образования, перенимают опыт и практики команд вузов-партнеров, создают собственные аналитические продукты и кейсы. Выпускники возглавляют вузы, факультеты и институты, работают в госуправлении, создают инновационные программы и коммерческие проекты в высшем образовании. Единственная российская программа, включенная в каталог Центра международного высшего образования Бостонского колледжа.",32,RUS+ENG
146,Управление в креативных индустриях,"Программа «Управление в креативных индустриях» направлена на подготовку специалистов по управлению организациями креативных индустрий, профессиональными сообществами и коммьюнити, творческими проектами, а также по запуску проектов и стартапов в креативных индустриях.Управленческие навыки, компетенции креативного предпринимательства, бизнес-мышления, владение методами современного менеджмента помогают эффективной коммерциализации результатов творческого поиска и интеллектуальной деятельности.",,RUS
147,"Управление в сфере науки, технологий и инноваций","Англоязычная магистерская программа разработана в 2014 году Институтом статистических исследований и экономики знаний  НИУ ВШЭ.Программа готовит специалистов, обладающих системными знаниями для анализа и структурирования информации, прогнозирования и планирования, принятия научно обоснованных стратегических решений и внедрения инноваций, способных выстраивать процессы эффективного управления в двух взаимосвязанных сферах - государственной политике и бизнесе.Магистр знает, что такое инновационный подход и как его достичь.Стратегия обучения основана на ведущих российских и зарубежных методиках.Выпускники успешно трудоустраиваются в организации государственного и частного сектора, научные центры и вузы. ",25,ENG
148,Управление инновационным бизнесом,"Программа ориентирована на подготовку руководителей и лидеров инновационного бизнеса — собственников инновационных компаний, инновационных предпринимателей, организаторов и руководителей прорывных инновационных проектов. Обучение основывается на синтезе управленческих и предпринимательских компетенций, преподаватели программы — практики и эксперты инновационного бизнеса. Выпускники программы знают, как правильно создать бизнес в инновационной сфере, как сделать его успешным и как его не потерять.Реализуется в онлайн формате.",,RUS+ENG
149,"Управление исследованиями, разработками и инновациями в компании","Программа подготовки «Инновационного спецназа» - лидеров развития, управляющих изменениями, создателей новых продуктов, новых бизнесов, новых рынков.В ходе обучения вы сформируете компетенции, которые позволят выстраивать инновационные процессы и занять лидерские позиции в ведущих российских и зарубежных компаниях, превратить результаты научных исследований в востребованные технологии и разработки.",25,RUS+ENG
150,Управление и экономика здравоохранения,"Программа, созданная первой в России, по подготовке специалистов, владеющих современными знаниями в сфере управления и экономики здравоохранения. Уникальное сочетание теоретических и прикладных дисциплин, а также обязательной практики в органах управления здравоохранением, медицинских учреждениях, страховых компаниях позволяет подготовить управленца новой формации. Такие специалисты чрезвычайно востребованы на всех уровнях управления системой здравоохранения — от медицинских организаций всех форм собственности и муниципальных органов до федеральных органов исполнительной власти.",25,RUS
151,Управление низкоуглеродным развитием,"Магистерская программа «Управление низкоуглеродным развитием» готовит специалистов в сфере климатических стратегий, политик и конкретных проектов на основе фундаментальных знаний о закономерностях функционирования экосистем и навыков применения прикладных правовых, финансовых и управленческих инструментов низкоуглеродного развития в корпоративном и государственном секторах.Выпускники программы получат широкий круг знаний о современных методах и инструментах оценки и мониторинга выбросов парниковых газов и комплексные компетенции для разработки мер климатической политики, эффективной реализации климатических проектов и работы на углеродных рынках.",15,RUS
152,Управление образованием,"В рамках программы изучаются социальные и управленческие аспекты образовательного процесса. Программа предназначена как для администраторов среднего и высшего образования, так и для преподавателей. Курс выстроен таким образом, что подходит и для начинающих специалистов, и для тех, кто успешно применяет навыки менеджера в работе.",20,RUS
153,Управление организациями и проектами,"Онлайн магистерская программа  призвана сформировать  систему знаний о роли и функциях современного менеджмента и менеджера, имеющего широкий, системный взгляд на организацию; профессиональные практические умения и навыки, позволяющие успешно занимать управленческие должности в компаниях разных форм собственности, сфер деятельности или вести собственное дело; необходимый набор «гибких» навыков, дающих возможность ведения эффективной управленческой деятельности и саморазвития.",,RUS
154,Управление правовыми рисками в бизнесе,"Новая программа. Первый набор в 2026 годуОбразовательная программа «Управление правовыми рисками в бизнесе» ориентирована на подготовку юристов, специализирующихся на правовом регулировании и защите бизнеса в условиях глобальной цифровизации и развития искусственного интеллекта.Работодатели проявляют интерес не только к специалистам, обладающим высоким уровнем профессиональных компетенций, но также способным осуществлять глубокий правовой анализ, разрабатывать оптимальные стратегии действий и предлагать конструктивные решения правовых проблем, выходящие за рамки традиционного подхода. Особое предпочтение отдаётся юристам, ориентированным на потребности клиентов и демонстрирующим способность адаптироваться к специфическим требованиям бизнеса.",,RUS
155,Управление продуктом в ИТ-бизнесе,"Цель программы – подготовка продакт-менеджеров, способных разрабатывать и масштабировать сложные технологические продукты, опираясь на data-driven подход, машинное обучение и практический опыт ведущих экспертов индустрии.Магистерская программа реализуется в партнерстве с Авито. Авито оплачивает обучение для 30 студентов.",,RUS
156,Управление пространственным развитием городов,"Наша миссия – формирование нового поколения профессионалов в сфере городских исследований, городского и транспортного планирования. Сочетание методологии, теории и опыта решения практических вопросов в области градостроительства, транспортного планирования и управления городским развитием позволяет выпускникам в дальнейшем работать над решением реальных задач и влиять на развитие современного города.",40,RUS+ENG
157,Управление развитием бизнеса,"Образовательная программа формирует у выпускников прочный каркас бизнес-компетенций, применяемых в современных компаниях и проектах. Отличительная особенность учебного плана заключается в комбинировании подходов различных отраслей в проектном и стратегическом управлении.Обучение на программе «Управление развитием бизнеса» включает в себя изучение ключевых аспектов менеджмента и аналитики с применением этих подходов в одном из четырех профессиональных треков: «Управление проектами», «Маркетинговая аналитика», «Менеджмент в индустрии впечатлений», «Персонал-технологии и аналитика».",57,RUS+ENG
158,Управление развитием компании,"Магистратура «Управление развитием компании» дает прикладное образование в области менеджмента. В процессе обучения студенты выбирают одну из траекторий программы: «Организационное развитие и управление персоналом», «Проектное управление и аналитика», «Управление бизнесом» (на английском языке).Выпускники образовательной программы обладают необходимыми знаниями и управленческими навыками для работы на таких позициях, как руководитель проектов, проектный менеджер, HR-менеджер, бизнес-аналитик в российских и международных компаниях.",30,RUS/ENG
159,Управление стратегическими коммуникациями,"Программа готовит будущих руководителей, топ-менеджеров индустрии коммуникаций, умеющих на практике создавать стратегии и реализовывать комплексные коммуникации кампании.«Управление стратегическими коммуникациями» – это очное высшее образование, которое можно получить 100% онлайн без привязки к локации.",,RUS
160,Управление финансами компании,"Новая программа. Первый набор в 2026 годуПрограмма готовит финансистов, уверенно работающих с цифровыми и ИИ-инструментами, понимающих специфику финансовых процессов в разных отраслях — производственной, технологической, строительной и др.Выпускники умеют управлять финансами компаний любого масштаба: от стартапов до среднего и крупного бизнеса. Обладают компетенциями в финансовом моделировании, планировании, оптимизации финансовых процессов, а также в оценке инвестиционных проектов и поддержке стратегических решений бизнеса.",,RUS
161,Управление цифровым продуктом,"Магистерская программа, реализуемая полностью в дистанционном формате.Программа сочетает фундаментальные знания и практику с реальными задачами от экспертов из индустрии. Диплом НИУ ВШЭ.",,RUS
162,Фармправо и здравоохранение,"(ранее — программа «Правовое регулирование в фармацевтике и биотехнологиях»)Программа реализуется совместно с Институтом исследований национального и сравнительного права.Первая в России магистерская программа по подготовке специалистов в области консалтинга, нормотворческой и экспертной деятельности для фармацевтической и биотехнологической индустрии. Вы получите фундаментальную общеправовую подготовку, опыт юридического и регуляторного сопровождения реальных компаний, учреждений и проектов, а также навыки управления юридическими рисками отрасли.",20,RUS+ENG
163,Физика,"(ранее – программа «Теоретическая и математическая физика»)Готовит исследователей современной теоретической физики – квантовой теории полей и физикой конденсированного состояния, а также тех, кто интересуется смежными вопросами в области математической физики. Ключевой акцент программы – научно-исследовательская работа.Выпускники программы смогут продолжить свою карьеру в аспирантуре ведущих физических институтах России и всего мира.  Есть соглашение о сотрудничестве в научной и образовательной сферах с АНОО ВО «Сколковский институт науки и технологий» (Сколтех).",10,RUS
164,Филологические исследования,"Обучение на программе дает современное литературоведческое образование в широком междисциплинарном контексте. В центре внимания – актуальные подходы в компаративистике, история русской литературы, ее связи с другими национальными литературами и место в мировой литературе. Студенты приобретают опыт не только академических исследований, но и практической работы с текстами, организации мероприятий и создания культурных проектов. Выпускники находят себя в науке, образовании, издательском деле, медиа, просветительских проектах.",16,RUS+ENG
165,Философские исследования,"(Ранее – программа «Философская антропология»)Программа дает фундаментальную подготовку в области современных проблем философского знания, сосредотачивая внимание на научных теориях, системах ценностей, культурных и религиозных традициях, политике и этике. Особый акцент ставится на изучении философско-антропологических концепций, стратегий и принципов познания, философской интерпретации идеологических программ, современных интеллектуальных и социокультурных практик.Магистры могут осуществлять философские исследования и заниматься консультированием в сфере культуры, образования, политики, преподавать социально-гуманитарные предметы в высших и средних учебных заведениях.",25,RUS+ENG
166,Финансовая экономика,"Эта программа подойдет тем, кто хорошо знает математику и основы экономики и заинтересован в получении фундаментального магистерского образования в области экономики и финансов. Программа создана при академической поддержке Лондонской школы экономики и соответствует международным стандартам качества образования, что открывает возможности для успешной карьеры в финансовой системе, стратегическом консалтинге, информационно-технологическом секторе в России и за рубежом или для продолжения обучения на программе PhD в одном из ведущих университетов мира.",25,ENG
167,Финансовые рынки и финансовые институты,"Магистерская программа «Финансовые рынки и финансовые институты» предназначена для выпускников экономического и математического бакалавриата и специалитета и направлена на подготовку высокопрофессиональных финансистов и инвесторов, владеющих современными приемами работы с большими данными, машинным обучением и искусственным интеллектом в области анализа и принятия инвестиционно-финансовых решений.Двухлетняя программа очной формы проходит на русском и английском языках, а процесс обучения отвечает стандартам международной ассоциации ACCA (Association of Charted Certified Accountants) и стандартам Совета по профессиональным квалификациям финансового рынка (СПКФР).",45,RUS+ENG
168,Финансовые стратегии и аналитика,"Специальности финансового аналитика и финансового менеджера входят в список самых востребованных профессий. Эти должности хорошо оплачиваются и востребованы в центральных и частных банках, государственных органах, инвестиционных и страховых компаниях, хедж-фондах и фондах прямых инвестиций.Программа «Финансовые стратегии и аналитика» готовит специалистов, обладающих фундаментальными знаниями о финансах фирмы, финансовых рынках, умеющих использовать большие массивы статистических, количественных и социологических данных для принятия решений, а также владеющих управленческими навыками и опытом решения реальных бизнес-кейсов.",15,RUS+ENG
169,Финансовые технологии,"Новая программа. Первый набор в 2026 годуМагистерская программа «Финансовые технологии» — масштабный сетевой проект, реализуемый НИУ ВШЭ – Москва, НИУ ВШЭ – Нижний Новгород и Альфа-Банком.Программа создана для подготовки специалистов в области финтеха через интеграцию практического опыта банка и академической экспертизы ВШЭ. Студенты погружаются в решение реальных бизнес-кейсов, а по окончании обучения получают востребованную профессию. Выпускники смогут работать в крупных компаниях и создавать свои стартапы.",15,RUS
170,Финансовые технологии и анализ данных,"Программа «Финансовые технологии и анализ данных» была основана в 2017 году и реализуется совместно ФКН ВШЭ и Сбербанком. Цель программы – подготовить будущих профессионалов в области анализа данных различной структуры (числовые и текстовые данные, графы и изображения), разработки моделей машинного обучения и предиктивной аналитики и, что не менее важно, научить слушателей создавать стоимость для бизнеса с помощью математических моделей.Финансирование со стороны Сбербанка покрывает 100% стоимости обучения (30 мест) и не предполагает дополнительных обязательств со стороны студента программы.",,RUS+ENG
171,Финансовый аналитик,"Практико-ориентированная программа, основанная на высоких стандартах Института CFA. Мы готовим высококлассных специалистов в области финансов и инвестиций, умеющих быстро адаптироваться к любой ситуации на рынке. Вашими наставниками станут преподаватели-практики, представители ведущих компаний России и мира, имеющие международные сертификаты CFA, FRM, ACCA. Мы помогаем построить карьеру в лидирующих финансовых организациях, а наши выпускники востребованы на российском и международном рынках.",,ENG
172,Финансовый инжиниринг,"Уникальная программа подготовки настоящих профессионалов инвестиционного бизнеса в лучшем российском вузе в области финансов по версии глобального рейтинга университетов QS. Наши выпускники умеют эффективно инвестировать и разрабатывать новые финансовые продукты с использованием передовых технологий.Профессорско-преподавательский состав включает действующих топ-менеджеров ведущих компаний.Обучение проходит в московском кампусе на Покровском бульваре. Наши выпускники высоко востребованы в российских и международных компаниях, органах государственного управления, в сегменте финансового консультирования частных инвесторов.",,RUS+ENG
173,Финансы,"Магистерская программа «Финансы» - это практико-ориентированная программа для тех, кто хочет стать лидером финансового рынка. Большое внимание на программе уделено проектной деятельности, которая поддерживается нашими партнерами – ведущими российскими и зарубежными компаниями. Широкая сеть бизнес-партнёров даёт возможность ещё на этапе обучения погрузиться в профессиональную среду, решать реальные задачи из области финансов и бизнеса.Гибкий учебный план позволяет нашим студентам формировать свою собственную профессиональную и карьерную траекторию. Получение программой международной и профессиональной аккредитации означает независимую профессиональную экспертизу качества программы.",30,RUS/ENG
174,Химия молекулярных систем и материалов,Магистерская программа организована совместно с ведущими институтами химического профиля РАН. Студентам обеспечены высокий уровень обучения и участие в работе исследовательских групп.Учеба в магистратуре на факультете химии НИУ ВШЭ направлена на реализацию научных проектов в области современных фундаментальных и прикладных исследований.,15,RUS+ENG
175,Цифровая инженерия для компьютерных игр,"Образовательная программа по разработке игр с углубленным изучением особенностей игровых движков и процесса создания игр для различных направлений.Технологическим полигоном программы является созданный в НИУ ВШЭ игровой движок Claw Engine, который использует генеративно-нейросетевые инструменты, упрощающие процесс создания видеоигр.Партнер программы — компания «Elverils».",,RUS
176,Цифровая урбанистика и аналитика города,"Цель программы – формирование нового поколения профессионалов, владеющих навыками аналитики данных, работы с геоинформационными системами и обеспечивающих “основанное на данных принятие решений” (data-driven planning decisions), базовым пониманием возможностей и ограничений социологического инструментария, знанием нормативной правовой базы градорегулирования, пониманием базовой экономики проекта и навыками проектного менеджмента. ",,RUS
177,Цифровое право,"Программа включает в себя как право информационных технологий и интеллектуальной собственности, так и право цифровых платформ.Расширение образовательных траекторий позволяет осуществить комплексную подготовку юристов, обладающих достаточными компетенциями для работы в условиях цифровой экономики.",20,RUS
178,Цифровой инжиниринг в телекоммуникациях,"Новая программа. Первый набор в 2026 годуПрограмма готовит специалистов нового поколения для проектирования, внедрения и управления современными телекоммуникационными системами. Вы освоите цифровые инструменты моделирования, автоматизации и анализа сетей связи, научитесь работать с технологиями 5G/6G, IoT, облачными платформами и искусственным интеллектом в сфере телекоммуникаций.По окончании программы вы будете готовы решать актуальные задачи цифровой трансформации отрасли. Возможные напраления работы: операторы мобильной и фиксировнной связи, ведущие компании-разработчки телекоммуникационного оборудования, интеграторы и дистрибьютеры телекоммуникационного оборудования.",17,RUS
179,Цифровой маркетинг,"Магистратура готовит маркетологов, руководителей отделов маркетинга крупных компаний, собственников диджитал-агентств. Программа сформирована на стыке маркетинга, анализа данных и цифрового инструментария.Обучение охватывает полный цикл разработки маркетинговой стратегии компании — начиная с анализа идеи до вывода на рынок, продвижения и оценки эффективности деятельности.",,RUS
180,Цифровые коммуникации и продуктовая аналитика,"(Ранее — программа «Коммуникации, основанные на данных»)Мы готовим лидеров цифровой трансформации коммуникационной индустрии, которые применяют современные технологии, искусственный интеллект и анализ данных в рекламе и маркетинге. В рамках обучения наши студенты проектируют собственные AdTech-стартапы и создают цифровые продукты для решения коммуникационных задач топ компаний FMCG, телекома и финтеха. Студенты приобретают навыки в области продакт-менеджмента и управления проектами, поэтому сразу после выпуска могут занимать управленческие позиции или создавать собственный цифровой бизнес с нуля. Наши выпускники работают в крупнейших коммуникационных группах, технологических компаниях и цифровых сервисах.",5,RUS
