name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,datePremiered,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,numOfScenes,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"dekker-chettle-haughton-patient-grissel","eng000314","Q7144967","Dekker","2","Patient Grissel","","Comedy","https://texts.earlyprint.org/works/A20077.xml","","","","","1600","20","false","1","1","1","several characters","19","1","","","","19","20","2","18","0","1","1","190","1600","1","1","0","0","23572","22878","499","589","1311"
"dekker-ford-middleton-rowley-the-spanish-gypsy","eng000394","Q7765670","Dekker","3","The Spanish Gypsy","","Comedy","https://texts.earlyprint.org/works/A50796.xml","","","","","1623","20","false","0.982456140350877","0.9789473684210527","1.0210526315789474","several characters","18.6","2","","","","19","20","6","13","1","1","1","186","1623","6","1","5","0","19522","19016","415","184","2120"
"dekker-ford-the-sun-s-darling","eng000375","Q7767303","Dekker","1","The Sun's Darling","","","https://texts.earlyprint.org/works/A39898.xml","","","","","1624","29","false","0.9068603881281366","0.3916256157635468","1.6083743842364533","eng000375-raybright|eng000375-folly","10.96551724137931","2","","","","28","29","9","15","4","0","1","159","1624","5","2","5","0","13100","11949","188","63","1310"
"dekker-haughton-day-lust-s-dominion","eng000385","","Dekker","2","Lust's Dominion, or The Lascivious Queen","","Tragedy","https://texts.earlyprint.org/works/A49479.xml","","","","","1600","32","false","0.8267242363969505","0.39919354838709675","1.6794354838709677","eng000385-alvero|eng000385-cardinal-mendoza|eng000385-prince-philip","12.375","3","","","","24","32","4","28","0","4","1","198","1600","27","","27","27","22627","21355","866","39","2503"
"dekker-if-it-be-not-good-the-devil-is-in-it","eng000312","","Dekker","0","If It Be Not Good, the Devil Is in It","","Comedy","https://texts.earlyprint.org/works/A20066.xml","","","","","1611","51","false","1","1","1","several characters","50","1","","","","50","51","3","46","2","5","1","1275","1611","1","","0","0","24831","22985","778","129","2499"
"dekker-massinger-the-virgin-martyr","eng000150","Q7772788","Dekker","1","The Virgin Martyr","","Tragedy","https://texts.earlyprint.org/works/A07249.xml","","","","","1620","23","false","0.907592311593523","0.8458498023715415","1.1541501976284585","several characters","18.608695652173914","2","","","","22","23","4","19","0","0","1","214","1620","5","1","5","0","23080","22647","577","94","2637"
"dekker-match-me-in-london","eng000317","Q6786219","Dekker","0","Match Me in London","","Comedy","https://texts.earlyprint.org/works/A20088.xml","","","","","1611","23","false","0.8883598692927002","0.7312252964426877","1.2687747035573123","eng000317-tormiella|eng000317-gazetto|eng000317-king","16.08695652173913","2","","","","22","23","3","20","0","1","1","185","1611","5","1","5","0","20504","20100","510","145","2071"
"dekker-middleton-the-bloody-banquet","eng000293","Q7718689","Dekker","1","The Bloody Banquet","","Tragedy","https://texts.earlyprint.org/works/A19755.xml","","","","","1608","24","false","0.8363648266221794","0.5181159420289855","1.6630434782608696","several characters","11.916666666666666","4","","","","18","24","2","22","0","0","1","143","1608","16","2","5","16","16355","15077","945","33","1697"
"dekker-middleton-the-honest-whore-1","eng000310","","Dekker","1","1 The Honest Whore","","Comedy","https://texts.earlyprint.org/works/A20062.xml","","","","","1604","32","false","0.9079983635249751","0.6693548387096774","1.342741935483871","several characters","20.75","3","","","","29","32","4","28","0","0","1","332","1604","7","","0","7","25576","25002","556","698","1541"
"dekker-middleton-the-roaring-girl","eng000166","","Dekker","1","The Roaring Girl, or Moll Cutpurse","","Comedy","https://texts.earlyprint.org/works/A07524.xml","","","","","1611","33","false","1","1","1","several characters","32","1","","","","32","33","5","28","0","0","1","528","1611","1","","0","0","27122","26040","778","313","2021"
