,numOfCoAuthors,title,normalizedGenre,yearNormalized,libretto,datePremiered,yearPremiered,yearPrinted,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numOfActs,numOfScenes,wordCountText,wordCountStage,wordCountSp
1219,0,L'Usurier Gentilhomme,Comedy,1713,False,1713-09-11,1713.0,1713,17,3,7,7,0,1,32,6923,82,6332
1220,0,Les Bavardes,,1889,False,,,1889,2,2,0,0,0,1,1,2017,24,1944
1221,0,La Maladroite,,1889,False,,,1889,1,1,0,0,0,0,1,510,10,447
1222,0,La Petite Princesse,,1889,False,,,1889,2,2,0,0,0,0,1,1296,26,1222
1223,0,Oh ! Maman !,,1896,False,,,1896,1,1,0,0,0,0,1,1159,42,1091
1224,0,Carnot Malade !,,1893,False,,,1893,1,1,0,0,0,0,1,373,6,337
1225,0,"L'Enfant, la Vieille et le Baudet",,1927,False,,,1927,1,1,0,0,0,0,1,379,0,251
1226,0,Le Miracle Raté,,1896,False,,,1896,1,1,0,0,0,0,1,248,0,136
1227,0,Artaxerce,Tragedy,1766,False,1766-08-20,1766.0,1768,7,2,4,1,0,5,29,11428,59,11091
1228,0,Guillaume Tell,Tragedy,1766,False,1766-12-17,1766.0,1767,7,0,5,2,0,5,26,10724,23,10480
1229,0,Idoménée,Tragedy,1764,False,1764-02-13,1764.0,1764,6,1,5,0,0,0,28,10775,86,10439
1230,0,La Veuve du Malabar,Tragedy,1770,False,1770-07-30,1770.0,1770,8,1,3,4,0,5,33,13937,73,13578
1231,0,"Molière et les Deux Thalies, Dialogue",,1816,False,,,1816,3,1,2,0,0,0,3,2712,5,2049
1232,0,Arlequin Mahomet,Comedy,1714,False,,1714.0,1714,8,1,2,5,0,1,13,3228,1016,3020
1233,0,Crispin un Rival de son Maitre,Comedy,1707,False,1707-03-12,1707.0,1707,8,3,5,0,0,1,26,9945,83,9714
1234,1,L'Ile du Gougou,Comedy,1720,False,,1720.0,1720,21,3,4,14,0,2,30,6389,1757,5790
1235,0,Les Mariages de Canada,Comedy,1737,False,,,1737,13,3,5,5,0,0,19,6115,818,5849
1236,0,Turcaret,Comedy,1709,False,1709-02-14,1709.0,1709,15,3,10,2,0,2,58,22552,121,21451
1237,0,Le Théâtre de Neptune en la Nouvelle-France,,1612,False,,,1612,11,0,1,10,0,0,1,2140,451,1975
1238,1,Le Protégé de Molière,Comedy,1848,False,1848-01-15,1848.0,1848,6,1,4,1,0,1,21,9236,222,9053
1239,0,"La Cloison, Beaucoup de Peine pour Rien",Comedy,1803,False,,1803.0,1803,3,1,2,0,0,0,15,8525,271,8159
1240,0,Alzaïde,Tragedy,1745,False,1745-12-13,1745.0,1746,8,2,6,0,0,5,25,10714,20,10145
1241,0,Le Normand et la Gascon,Comedy,1882,False,,,1882,2,0,0,2,0,0,6,3790,266,3655
1242,0,Mon Futur,,1887,False,,,1887,1,0,0,1,0,1,1,734,0,692
1243,0,La Mort de Solon,Tragedy,1694,False,,,1694,11,3,7,1,0,0,30,16216,64,15999
1244,0,Médée,Tragedy,1694,False,1694-02-13,1694.0,1694,9,3,6,0,0,5,26,12065,60,11894
1245,0,Richelieu Homme de Lettres,Comedy,1879,False,,,1879,17,0,1,16,0,1,8,5827,109,5608
1246,0,Le Souper d'Auteuil,Comedy,1879,False,,,1879,7,0,7,0,0,1,9,5338,52,5208
1247,0,Les Artistes de Société,Comedy,1818,False,,,1818,11,4,4,3,0,1,13,4727,277,4454
1248,1,Christophe Colomb,,1846,False,,,1846,2,0,0,2,0,0,1,584,61,540
1249,0,Artaxerxe,Tragedy,1644,False,,1644.0,1645,7,2,5,0,0,5,27,16987,0,16230
1250,0,Jeanne de Naples,Tragedy,1644,False,,1644.0,1656,9,1,2,6,0,0,30,16223,25,14078
1251,0,Josaphat,Tragicomedy,1644,False,,1644.0,1647,7,1,5,1,0,5,26,15546,2,14370
1252,0,Le Mariage d'Oroondate et de Statira,Tragicomedy,1644,False,,1644.0,1648,9,2,4,3,0,5,38,18310,10,17191
1253,0,Séjanus,Tragedy,1644,False,,1644.0,1647,11,4,5,2,0,5,22,15252,9,14125
